dataset,p,q,test_accuracy
CiteSeer,1.0,0.25,0.4910
CiteSeer,1.0,0.5,0.4980
CiteSeer,1.0,1.0,0.5100
CiteSeer,1.0,2.0,0.4590
CiteSeer,1.0,4.0,0.4660
